country_id,source_id
AFG,AF
REG_AF,F1
ALB,AL
DZA,DZ
WLD,W00
ASM,AS
AGO,AO
ATG,AG
ARG,AR
ARM,AM
ABW,AW
AUS,AU
AUT,AT
AZE,AZ
BHS,BS
BHR,BH
BGD,BD
BRB,BB
BLR,BY
BEL,BE
BLZ,BZ
BEN,BJ
BMU,BM
BTN,BT
BOL,BO
BIH,BA
BWA,BW
BRA,BR
BRN,BN
BGR,BG
BFA,BF
BDI,BI
KHM,KH
CMR,CM
CAN,CA
CPV,CV
CAF,CF
TCD,TD
CHL,CL
CHN,CN
COL,CO
COM,KM
COG,CG
COD,CD
CRI,CR
HRV,HR
CUB,CU
CUW,CW
CYP,CY
CZE,CZ
PRK,KP
DNK,DK
DJI,DJ
DMA,DM
DOM,DO
ECU,EC
EGY,EG
SLV,SV
REG_EUED,1C_903
GNQ,GQ
ERI,ER
EST,EE
SWZ,SZ
ETH,ET
EUZ,U2
REG_EUR,E1
FLK,FK
FRO,FO
FJI,FJ
FIN,FI
FRA,FR
PYF,PF
GAB,GA
GMB,GM
GEO,GE
DEU,DE
GHA,GH
GIB,GI
GRC,GR
GRL,GL
GRD,GD
GUM,GU
GTM,GT
GIN,GN
GNB,GW
GUY,GY
HTI,HT
HND,HN
HKG,HK
HUN,HU
ISL,IS
IND,IN
IDN,ID
IRN,IR
IRQ,IQ
IRL,IE
ISR,IL
ITA,IT
CIV,CI
JAM,JM
JPN,JP
JOR,JO
KAZ,KZ
KEN,KE
KIR,KI
KOR,KR
KSV,XK
KWT,KW
KGZ,KG
LAO,LA
LVA,LV
LBN,LB
LSO,LS
LBR,LR
LBY,LY
LTU,LT
LUX,LU
MAC,MO
MDG,MG
MWI,MW
MYS,MY
MDV,MV
MLI,ML
MLT,MT
MHL,MH
MRT,MR
MUS,MU
MEX,MX
FSM,FM
REG_ME,F97
MDA,MD
MNG,MN
MNE,ME
MAR,MA
MOZ,MZ
MMR,MM
NAM,NA
NRU,NR
NPL,NP
NLD,NL
NCL,NC
NZL,NZ
NIC,NI
NER,NE
NGA,NG
MKD,MK
NOR,NO
OMN,OM
PAK,PK
PLW,PW
PSE,PS
PAN,PA
PNG,PG
PRY,PY
PER,PE
PHL,PH
POL,PL
PRT,PT
QAT,QA
ROU,RO
RUS,RU
RWA,RW
KNA,KN
LCA,LC
VCT,VC
WSM,WS
SMR,SM
STP,ST
SAU,SA
SEN,SN
SRB,RS
SYC,SC
SLE,SL
SGP,SG
SXM,SX
SVK,SK
SVN,SI
SLB,SB
SOM,SO
ZAF,ZA
SSD,SS
ESP,ES
LKA,LK
REG_SSA,F6
SDN,SD
SUR,SR
SWE,SE
CHE,CH
SYR,SY
TWN,TW
TJK,TJ
TZA,TZ
THA,TH
TLS,TL
TGO,TG
TON,TO
TTO,TT
TUN,TN
TUR,TR
TKM,TM
TUV,TV
UGA,UG
UKR,UA
ARE,AE
GBR,GB
USA,US
URY,UY
UZB,UZ
VUT,VU
VEN,VE
VNM,VN
YEM,YE
ZMB,ZM
ZWE,ZW
